no,topic,description,example
162,Direct Memory Access,"Direct Memory Access: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
163,NUMA,"NUMA: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
164,Cache Coherence,"Cache Coherence: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
165,x86 Paging,"x86 Paging: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
166,ARM Page Tables,"ARM Page Tables: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
167,OSI Model,"OSI Model: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
168,TCP,"TCP: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
169,UDP,"UDP: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
170,IP,"IP: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
171,HTTP,"HTTP: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
172,HTTP/2,"HTTP/2: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
173,HTTP/3,"HTTP/3: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
174,TLS,"TLS: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
175,DNS,"DNS: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
176,DHCP,"DHCP: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
177,WebSocket,"WebSocket: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
178,gRPC,"gRPC: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
179,REST,"REST: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
180,GraphQL,"GraphQL: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
181,RPC,"RPC: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
182,NAT,"NAT: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
183,Load Balancing,"Load Balancing: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
184,CDN,"CDN: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
185,Reverse Proxy,"Reverse Proxy: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
186,Forward Proxy,"Forward Proxy: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
187,Rate Limiting,"Rate Limiting: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
188,Backpressure,"Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
189,Message Queue,"Message Queue: key idea, when to use it, and its core properties or equations.","FIFO container.
Ops: enqueue(5), enqueue(7), dequeue()→5. BFS uses queue."
190,Kafka,"Kafka: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
191,RabbitMQ,"RabbitMQ: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
192,MQTT,"MQTT: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
193,AMQP,"AMQP: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
194,gRPC Streaming,"gRPC Streaming: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
195,Relational Model,"Relational Model: key idea, when to use it, and its core properties or equations.","SQL example:
CREATE INDEX idx ON orders(order_date);
SELECT * FROM orders WHERE order_date >= '2025-01-01';
Transaction: BEGIN; UPDATE balance SET amt=amt-100 WHERE id=1; COMMIT."
196,SQL,"SQL: key idea, when to use it, and its core properties or equations.","SQL example:
CREATE INDEX idx ON orders(order_date);
SELECT * FROM orders WHERE order_date >= '2025-01-01';
Transaction: BEGIN; UPDATE balance SET amt=amt-100 WHERE id=1; COMMIT."
197,NoSQL,"NoSQL: key idea, when to use it, and its core properties or equations.","SQL example:
CREATE INDEX idx ON orders(order_date);
SELECT * FROM orders WHERE order_date >= '2025-01-01';
Transaction: BEGIN; UPDATE balance SET amt=amt-100 WHERE id=1; COMMIT."
198,Key-Value Store,"Key-Value Store: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
