no,topic,description,example
211,Ionic Product of Water,"Ionic Product of Water: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
212,Buffer Capacity,"Buffer Capacity: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
213,Henderson–Hasselbalch Equation,"Henderson–Hasselbalch Equation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
214,Phase Rule,"Phase Rule: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
215,Eutectic Point,"Eutectic Point: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
216,Colloid,"Colloid: definition, key principles, and typical applications.",Example: Langmuir fit: 1/q vs 1/C linear → monolayer capacity q_max from intercept.
217,Adsorption,"Adsorption: definition, key principles, and typical applications.",Example: Langmuir fit: 1/q vs 1/C linear → monolayer capacity q_max from intercept.
218,Catalyst Poisoning,"Catalyst Poisoning: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
219,Zeolites,"Zeolites: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
220,Surface Area,"Surface Area: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
221,Langmuir Isotherm,"Langmuir Isotherm: definition, key principles, and typical applications.",Example: Langmuir fit: 1/q vs 1/C linear → monolayer capacity q_max from intercept.
222,BET Equation,"BET Equation: definition, key principles, and typical applications.",Example: Langmuir fit: 1/q vs 1/C linear → monolayer capacity q_max from intercept.
223,Industrial Chemistry,"Industrial Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
224,Haber Process,"Haber Process: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
225,Contact Process,"Contact Process: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
226,Solvay Process,"Solvay Process: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
227,Ostwald Process,"Ostwald Process: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
228,Cement Production,"Cement Production: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
229,Steel Manufacture,"Steel Manufacture: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
230,Petrochemical Refining,"Petrochemical Refining: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
231,Cracking,"Cracking: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
232,Polyethylene,"Polyethylene: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
233,Polypropylene,"Polypropylene: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
234,PVC,"PVC: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
235,Teflon,"Teflon: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
236,Nylon,"Nylon: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
237,Battery Chemistry,"Battery Chemistry: definition, key principles, and typical applications.","Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V."
238,Fuel Cell,"Fuel Cell: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
239,Corrosion Prevention,"Corrosion Prevention: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
240,Electroplating Process,"Electroplating Process: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
241,Semiconductor Doping,"Semiconductor Doping: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
242,Nanochemistry,"Nanochemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
243,Supramolecular Chemistry,"Supramolecular Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
244,Medicinal Chemistry,"Medicinal Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
245,Pharmaceuticals,"Pharmaceuticals: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
246,Drug Design,"Drug Design: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
247,Antibiotics,"Antibiotics: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
248,Antivirals,"Antivirals: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
249,Antacids,"Antacids: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
250,Analgesics,"Analgesics: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
251,Hormones,"Hormones: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
252,Vitamins,"Vitamins: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
253,Pesticides,"Pesticides: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
254,Fertilizers,"Fertilizers: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
255,Detergents,"Detergents: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
256,Surfactants,"Surfactants: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
257,Soaps,"Soaps: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
258,Emulsions,"Emulsions: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
259,Colloidal Stability,"Colloidal Stability: definition, key principles, and typical applications.",Example: Langmuir fit: 1/q vs 1/C linear → monolayer capacity q_max from intercept.
260,Food Additives,"Food Additives: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
261,Preservatives,"Preservatives: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
262,Flavor Chemistry,"Flavor Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
263,Aroma Compounds,"Aroma Compounds: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
264,Dyes and Pigments,"Dyes and Pigments: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
265,Paint Chemistry,"Paint Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
266,Cosmetic Chemistry,"Cosmetic Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
267,Polymers in Packaging,"Polymers in Packaging: definition, key principles, and typical applications.",Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.
268,Water Treatment,"Water Treatment: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
269,Wastewater Analysis,"Wastewater Analysis: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
270,Environmental Monitoring,"Environmental Monitoring: definition, key principles, and typical applications.",Example: Adsorption of Pb²⁺ on activated carbon follows Langmuir isotherm; q_max estimated from fit.
