no,topic,description,example
183,Nuclear Fission,"Nuclear Fission: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
184,Nuclear Fusion,"Nuclear Fusion: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
185,Binding Energy,"Binding Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
186,Mass Defect,"Mass Defect: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
187,Particle Physics,"Particle Physics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
188,Quarks,"Quarks: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
189,Leptons,"Leptons: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
190,Hadrons,"Hadrons: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
191,Mesons,"Mesons: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
192,Baryons,"Baryons: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
193,Gauge Bosons,"Gauge Bosons: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
194,Standard Model,"Standard Model: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
195,Higgs Mechanism,"Higgs Mechanism: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
196,Neutrino Oscillations,"Neutrino Oscillations: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
197,Cross Section,"Cross Section: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
198,Scattering,"Scattering: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
199,Fermi's Golden Rule,"Fermi's Golden Rule: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
200,Stellar Formation,"Stellar Formation: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
201,Main Sequence,"Main Sequence: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
202,Red Giants,"Red Giants: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
203,White Dwarfs,"White Dwarfs: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
204,Neutron Stars,"Neutron Stars: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
205,Pulsars,"Pulsars: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
206,Supernovae,"Supernovae: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
207,Nucleosynthesis,"Nucleosynthesis: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
208,Accretion Disks,"Accretion Disks: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
209,Exoplanets,"Exoplanets: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
210,Galaxy Types,"Galaxy Types: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
211,Dark Matter,"Dark Matter: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
212,Dark Energy,"Dark Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
213,Cosmic Inflation,"Cosmic Inflation: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
214,Structure Formation,"Structure Formation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
215,Virial Theorem,"Virial Theorem: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
216,Jeans Instability,"Jeans Instability: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
217,Roche Limit,"Roche Limit: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
218,Tidal Locking,"Tidal Locking: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
219,Crystal Lattice,"Crystal Lattice: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
220,Bravais Lattices,"Bravais Lattices: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
221,Reciprocal Lattice,"Reciprocal Lattice: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
222,Brillouin Zone,"Brillouin Zone: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
223,Phonons,"Phonons: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
224,Band Structure,"Band Structure: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
225,Fermi Surface,"Fermi Surface: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
226,Semiconductors,"Semiconductors: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
227,Doping,"Doping: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
228,PN Junction,"PN Junction: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
229,Diodes,"Diodes: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
230,Transistors,"Transistors: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
231,Superconductivity,"Superconductivity: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
232,BCS Theory,"BCS Theory: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
233,Quantum Hall Effect,"Quantum Hall Effect: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
234,Topological Insulators,"Topological Insulators: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
235,Magnons,"Magnons: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
236,Ferromagnetism,"Ferromagnetism: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
237,Antiferromagnetism,"Antiferromagnetism: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
238,Paramagnetism,"Paramagnetism: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
239,Hysteresis,"Hysteresis: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
240,Percolation,"Percolation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
241,Plasma State,"Plasma State: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
242,Debye Length,"Debye Length: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
243,Plasma Frequency,"Plasma Frequency: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
244,Magnetohydrodynamics,"Magnetohydrodynamics: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
245,Alfvén Waves,"Alfvén Waves: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
246,Tokamak,"Tokamak: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
247,Pinch Effect,"Pinch Effect: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
248,Plasma Sheath,"Plasma Sheath: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
249,Langmuir Probe,"Langmuir Probe: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
250,Cyclotron Frequency,"Cyclotron Frequency: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
251,Dimensional Analysis,"Dimensional Analysis: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
252,Vectors and Tensors,"Vectors and Tensors: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
253,Gradient,"Gradient: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
254,Divergence,"Divergence: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
255,Curl,"Curl: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
256,Line Integral,"Line Integral: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
257,Surface Integral,"Surface Integral: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
258,Volume Integral,"Volume Integral: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
259,Green's Theorem,"Green's Theorem: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
